46	61	28
8	31	92
30	4	36
38	7	72
32	47	50
6	42	93
5	42	93
27	9	38
1	34	50
44	93	7
58	46	28
71	33	40
32	47	50
70	24	57
76	62	70
55	56	53
19	20	23
55	15	18
82	17	53
23	49	16
38	23	21
20	81	16
88	32	47
19	49	67
13	15	73
58	26	24
94	25	68
44	7	65
46	64	58
67	23	84
50	2	12
1	92	41
12	47	4
71	42	83
47	8	12
15	18	13
2	91	30
68	57	26
3	7	67
52	49	23
71	42	35
88	31	1
5	6	59
28	10	64
27	94	9
53	22	56
28	10	58
32	12	34
44	39	27
52	23	19
30	12	4
57	83	66
49	39	6
55	82	68
13	70	35
53	17	68
68	15	53
68	51	70
28	10	25
86	6	42
90	26	93
64	0	10
14	76	54
15	53	82
28	10	58
27	44	7
68	57	26
29	23	38
56	57	55
77	14	51
76	57	13
33	11	40
3	48	38
70	24	79
94	55	25
89	49	84
70	14	62
69	51	83
24	25	59
82	70	53
63	79	61
3	21	20
53	18	79
51	33	42
29	5	42
31	45	41
59	52	6
11	71	29
41	22	32
75	49	52
93	60	26
36	43	10
1	31	8
9	44	6
44	26	55
47	88	34
